Species1,Species2,Distance
5K21,5K7,0.03176207
5K22,5K7,0.02969697
5K23,5K7,0.03535354
5K3,5K7,0.03602694
5K4,5K7,0.02525253
5K5,5K7,0.02895623
5K6,5K7,0.03265993
5E1,5K8,0.03838384
5A1,5K8,0.04242424
5A2,5K8,0.05925926
5A3,5K8,0.05858586
5B1,5K8,0.04848485
5B2,5K8,0.05117845
5B3,5K8,0.05297419
5B4,5K8,0.04434824
5B5,5K8,0.05581743
5B6,5K8,0.05555556
5B7,5K8,0.05687175
5C1,5K8,0.05364935
5D1,5K8,0.04264871
5D2,5K8,0.04983165
5F1,5K8,0.05050505
5G1,5K8,0.04646465
5H1,5K8,0.04377104
5H2,5K8,0.03479237
5I1,5K8,0.05237561
5J1,5K8,0.06666667
5J2,5K8,0.06161616
5K1,5K8,0.02828283
5K10,5K8,0.01212121
5K11,5K8,0.02828283
5K12,5K8,0.02449052
5K13,5K8,0.02558923
5K14,5K8,0.03164983
5K15,5K8,0.02558923
5K16,5K8,0.02693603
5K17,5K8,0.02558923
5K18,5K8,0.03030303
5K19,5K8,0.03905724
5K2,5K8,0.03299663
5K20,5K8,0.0318743
5K21,5K8,0.03142536
5K22,5K8,0.03003367
5K23,5K8,0.03383838
5K3,5K8,0.03434343
5K4,5K8,0.02289562
5K5,5K8,0.02659933
5K6,5K8,0.03030303
5K7,5K8,0.02323232
5E1,5K9,0.04107744
5A1,5K9,0.04444444
5A2,5K9,0.05791246
5A3,5K9,0.05723906
5B1,5K9,0.05050505
5B2,5K9,0.05319865
5B3,5K9,0.05454545
5B4,5K9,0.04636845
5B5,5K9,0.0580621
5B6,5K9,0.05824916
5B7,5K9,0.05821855
5C1,5K9,0.05225155
5D1,5K9,0.04287318
5D2,5K9,0.05050505
5F1,5K9,0.05050505
5G1,5K9,0.04915825
5H1,5K9,0.04646465
5H2,5K9,0.03748597
5I1,5K9,0.05222596
5J1,5K9,0.06329966
5J2,5K9,0.05858586
5K1,5K9,0.03097643
5K10,5K9,0.00808081
5K11,5K9,0.02289562
5K12,5K9,0.02573099
5K13,5K9,0.02626263
5K14,5K9,0.03299663
5K15,5K9,0.02693603
5K16,5K9,0.02828283
5K17,5K9,0.02693603
5K18,5K9,0.03164983
5K19,5K9,0.04040404
5K2,5K9,0.03569024
5K20,5K9,0.0332211
5K21,5K9,0.02962963
5K22,5K9,0.03124579
5K23,5K9,0.03569024
5K3,5K9,0.03703704
5K4,5K9,0.02558923
5K5,5K9,0.02861953
5K6,5K9,0.03299663
5K7,5K9,0.02457912
5K8,5K9,0.01212121
5E1,5L1,0.04335952
5A1,5L1,0.04231201
5A2,5L1,0.05604938
5A3,5L1,0.05832398
5B1,5L1,0.04956977
5B2,5L1,0.05375982
5B3,5L1,0.05548073
5B4,5L1,0.04686548
5B5,5L1,0.05939643
5B6,5L1,0.05910961
5B7,5L1,0.05799408
5C1,5L1,0.05200006
5D1,5L1,0.04168849
5D2,5L1,0.05043023
5F1,5L1,0.05413393
5G1,5L1,0.04953236
5H1,5L1,0.0476618
5H2,5L1,0.04002993
5I1,5L1,0.0543584
5J1,5L1,0.07018331
5J2,5L1,0.05993266
5K1,5L1,0.0308642
5K10,5L1,0.02772166
5K11,5L1,0.03969323
5K12,5L1,0.02309055
5K13,5L1,0.02510288
5K14,5L1,0.02981669
5K15,5L1,0.02368126
5K16,5L1,0.02637486
5K17,5L1,0.02502806
5K18,5L1,0.02832024
5K19,5L1,0.03849607
5K2,5L1,0.03565282
5K20,5L1,0.02946751
5K21,5L1,0.0305275
5K22,5L1,0.02986158
5K23,5L1,0.03552189
5K3,5L1,0.03842125
5K4,5L1,0.02577628
5K5,5L1,0.03202394
5K6,5L1,0.03572765
5K7,5L1,0.0271979
5K8,5L1,0.02757202
5K9,5L1,0.02764684
5E1,5L2,0.0516934
5A1,5L2,0.04963359
5A2,5L2,0.06294316
5A3,5L2,0.06559715
5B1,5L2,0.05628837
